Image: 10_10_r_1, x_automatico: 630, y_automatico: 468, x_manual: 633, y_manual: 452, Mse: 132.5
Image: 13_10_r_1, x_automatico: 388, y_automatico: 355, x_manual: 384, y_manual: 356, Mse: 8.5
Image: 13_1_r_1, x_automatico: 372, y_automatico: 370, x_manual: 376, y_manual: 365, Mse: 20.5
Image: 13_2_r_1, x_automatico: 392, y_automatico: 375, x_manual: 389, y_manual: 363, Mse: 76.5
Image: 13_3_r_1, x_automatico: 448, y_automatico: 348, x_manual: 449, y_manual: 347, Mse: 1.0
Image: 13_4_r_1, x_automatico: 450, y_automatico: 355, x_manual: 451, y_manual: 358, Mse: 5.0
Image: 13_5_r_1, x_automatico: 412, y_automatico: 385, x_manual: 414, y_manual: 371, Mse: 100.0
Image: 13_6_r_1, x_automatico: 398, y_automatico: 445, x_manual: 392, y_manual: 437, Mse: 50.0
Image: 13_7_r_1, x_automatico: 318, y_automatico: 412, x_manual: 324, y_manual: 399, Mse: 102.5
Image: 13_8_r_1, x_automatico: 412, y_automatico: 372, x_manual: 400, y_manual: 352, Mse: 272.0
Image: 13_9_r_1, x_automatico: 420, y_automatico: 435, x_manual: 417, y_manual: 430, Mse: 17.0
Image: 14_10_r_1, x_automatico: 390, y_automatico: 398, x_manual: 381, y_manual: 392, Mse: 58.5
Image: 14_1_r_1, x_automatico: 385, y_automatico: 345, x_manual: 396, y_manual: 331, Mse: 158.5
Image: 14_2_r_1, x_automatico: 525, y_automatico: 335, x_manual: 529, y_manual: 326, Mse: 48.5
Image: 14_3_r_1, x_automatico: 455, y_automatico: 315, x_manual: 452, y_manual: 315, Mse: 4.5
Image: 14_4_r_1, x_automatico: 442, y_automatico: 378, x_manual: 437, y_manual: 367, Mse: 73.0
Image: 14_5_r_1, x_automatico: 415, y_automatico: 385, x_manual: 414, y_manual: 382, Mse: 5.0
Image: 14_6_r_1, x_automatico: 388, y_automatico: 365, x_manual: 369, y_manual: 363, Mse: 182.5
Image: 14_7_r_1, x_automatico: 370, y_automatico: 430, x_manual: 377, y_manual: 425, Mse: 37.0
Image: 14_8_r_1, x_automatico: 425, y_automatico: 420, x_manual: 479, y_manual: 422, Mse: 1460.0
Image: 14_9_r_1, x_automatico: 455, y_automatico: 455, x_manual: 459, y_manual: 454, Mse: 8.5
Image: 15_10_r_1, x_automatico: 475, y_automatico: 432, x_manual: 455, y_manual: 435, Mse: 204.5
Image: 15_1_r_1, x_automatico: 272, y_automatico: 458, x_manual: 264, y_manual: 453, Mse: 44.5
Image: 15_2_r_1, x_automatico: 290, y_automatico: 310, x_manual: 286, y_manual: 300, Mse: 58.0
Image: 15_3_r_1, x_automatico: 382, y_automatico: 225, x_manual: 372, y_manual: 205, Mse: 250.0
Image: 15_4_r_1, x_automatico: 320, y_automatico: 418, x_manual: 332, y_manual: 405, Mse: 156.5
Image: 15_5_r_1, x_automatico: 355, y_automatico: 502, x_manual: 423, y_manual: 502, Mse: 2312.0
Image: 15_6_r_1, x_automatico: 285, y_automatico: 360, x_manual: 284, y_manual: 350, Mse: 50.5
Image: 15_7_r_1, x_automatico: 233, y_automatico: 398, x_manual: 257, y_manual: 384, Mse: 386.0
Image: 15_8_r_1, x_automatico: 502, y_automatico: 202, x_manual: 508, y_manual: 192, Mse: 68.0
Image: 15_9_r_1, x_automatico: 450, y_automatico: 415, x_manual: 457, y_manual: 409, Mse: 42.5
Image: 16_10_r_1, x_automatico: 385, y_automatico: 400, x_manual: 389, y_manual: 395, Mse: 20.5
Image: 16_1_r_1, x_automatico: 310, y_automatico: 398, x_manual: 339, y_manual: 399, Mse: 421.0
Image: 16_2_r_1, x_automatico: 432, y_automatico: 338, x_manual: 438, y_manual: 357, Mse: 198.5
Image: 16_3_r_1, x_automatico: 482, y_automatico: 332, x_manual: 474, y_manual: 341, Mse: 72.5
Image: 16_4_r_1, x_automatico: 500, y_automatico: 375, x_manual: 502, y_manual: 372, Mse: 6.5
Image: 16_5_r_1, x_automatico: 278, y_automatico: 410, x_manual: 274, y_manual: 427, Mse: 152.5
Image: 16_6_r_1, x_automatico: 388, y_automatico: 350, x_manual: 384, y_manual: 351, Mse: 8.5
Image: 16_7_r_1, x_automatico: 378, y_automatico: 398, x_manual: 364, y_manual: 473, Mse: 2910.5
Image: 16_8_r_1, x_automatico: 390, y_automatico: 395, x_manual: 408, y_manual: 346, Mse: 1362.5
Image: 16_9_r_1, x_automatico: 408, y_automatico: 325, x_manual: 433, y_manual: 326, Mse: 313.0
Image: 1_10_r_1, x_automatico: 450, y_automatico: 525, x_manual: 451, y_manual: 524, Mse: 1.0
Image: 1_1_r_1, x_automatico: 325, y_automatico: 500, x_manual: 380, y_manual: 485, Mse: 1625.0
Image: 1_2_r_1, x_automatico: 345, y_automatico: 465, x_manual: 354, y_manual: 457, Mse: 72.5
Image: 1_3_r_1, x_automatico: 305, y_automatico: 418, x_manual: 308, y_manual: 394, Mse: 292.5
Image: 1_4_r_1, x_automatico: 378, y_automatico: 470, x_manual: 343, y_manual: 463, Mse: 637.0
Image: 1_5_r_1, x_automatico: 355, y_automatico: 478, x_manual: 340, y_manual: 491, Mse: 197.0
Image: 1_6_r_1, x_automatico: 400, y_automatico: 440, x_manual: 397, y_manual: 427, Mse: 89.0
Image: 1_7_r_1, x_automatico: 325, y_automatico: 440, x_manual: 321, y_manual: 424, Mse: 136.0
Image: 1_8_r_1, x_automatico: 450, y_automatico: 430, x_manual: 469, y_manual: 440, Mse: 230.5
Image: 1_9_r_1, x_automatico: 452, y_automatico: 460, x_manual: 468, y_manual: 434, Mse: 466.0
Image: 2_10_r_1, x_automatico: 370, y_automatico: 515, x_manual: 322, y_manual: 488, Mse: 1516.5
Image: 2_1_r_1, x_automatico: 285, y_automatico: 455, x_manual: 279, y_manual: 449, Mse: 36.0
Image: 2_2_r_1, x_automatico: 330, y_automatico: 433, x_manual: 321, y_manual: 417, Mse: 168.5
Image: 2_3_r_1, x_automatico: 365, y_automatico: 490, x_manual: 368, y_manual: 445, Mse: 1017.0
Image: 2_4_r_1, x_automatico: 360, y_automatico: 490, x_manual: 349, y_manual: 465, Mse: 373.0
Image: 2_5_r_1, x_automatico: 392, y_automatico: 518, x_manual: 388, y_manual: 506, Mse: 80.0
Image: 2_6_r_1, x_automatico: 240, y_automatico: 458, x_manual: 238, y_manual: 464, Mse: 20.0
Image: 2_7_r_1, x_automatico: 302, y_automatico: 432, x_manual: 286, y_manual: 420, Mse: 200.0
Image: 2_8_r_1, x_automatico: 308, y_automatico: 465, x_manual: 292, y_manual: 441, Mse: 416.0
Image: 2_9_r_1, x_automatico: 298, y_automatico: 470, x_manual: 275, y_manual: 430, Mse: 1064.5
Image: 3_10_r_1, x_automatico: 282, y_automatico: 275, x_manual: 258, y_manual: 242, Mse: 832.5
Image: 3_1_r_1, x_automatico: 320, y_automatico: 405, x_manual: 289, y_manual: 388, Mse: 625.0
Image: 3_2_r_1, x_automatico: 395, y_automatico: 482, x_manual: 364, y_manual: 428, Mse: 1938.5
Image: 3_3_r_1, x_automatico: 340, y_automatico: 450, x_manual: 329, y_manual: 406, Mse: 1028.5
Image: 3_4_r_1, x_automatico: 263, y_automatico: 390, x_manual: 271, y_manual: 374, Mse: 160.0
Image: 3_5_r_1, x_automatico: 230, y_automatico: 460, x_manual: 272, y_manual: 439, Mse: 1102.5
Image: 3_6_r_1, x_automatico: 260, y_automatico: 462, x_manual: 288, y_manual: 471, Mse: 432.5
Image: 3_7_r_1, x_automatico: 278, y_automatico: 412, x_manual: 320, y_manual: 405, Mse: 906.5
Image: 3_8_r_1, x_automatico: 378, y_automatico: 370, x_manual: 376, y_manual: 356, Mse: 100.0
Image: 3_9_r_1, x_automatico: 335, y_automatico: 428, x_manual: 353, y_manual: 391, Mse: 846.5
Image: 4_10_r_1, x_automatico: 432, y_automatico: 412, x_manual: 375, y_manual: 413, Mse: 1625.0
Image: 4_1_r_1, x_automatico: 380, y_automatico: 488, x_manual: 364, y_manual: 449, Mse: 888.5
Image: 4_2_r_1, x_automatico: 378, y_automatico: 488, x_manual: 362, y_manual: 418, Mse: 2578.0
Image: 4_3_r_1, x_automatico: 290, y_automatico: 525, x_manual: 312, y_manual: 480, Mse: 1254.5
Image: 4_4_r_1, x_automatico: 430, y_automatico: 532, x_manual: 428, y_manual: 467, Mse: 2114.5
Image: 4_5_r_1, x_automatico: 342, y_automatico: 442, x_manual: 357, y_manual: 400, Mse: 994.5
Image: 4_6_r_1, x_automatico: 358, y_automatico: 418, x_manual: 373, y_manual: 376, Mse: 994.5
Image: 4_7_r_1, x_automatico: 295, y_automatico: 470, x_manual: 315, y_manual: 408, Mse: 2122.0
Image: 4_8_r_1, x_automatico: 255, y_automatico: 390, x_manual: 281, y_manual: 345, Mse: 1350.5
Image: 4_9_r_1, x_automatico: 285, y_automatico: 292, x_manual: 307, y_manual: 246, Mse: 1300.0
Image: 5_10_r_1, x_automatico: 308, y_automatico: 252, x_manual: 307, y_manual: 237, Mse: 113.0
Image: 5_1_r_1, x_automatico: 292, y_automatico: 380, x_manual: 310, y_manual: 351, Mse: 582.5
Image: 5_2_r_1, x_automatico: 210, y_automatico: 220, x_manual: 220, y_manual: 219, Mse: 50.5
Image: 5_3_r_1, x_automatico: 262, y_automatico: 392, x_manual: 287, y_manual: 356, Mse: 960.5
Image: 5_4_r_1, x_automatico: 348, y_automatico: 372, x_manual: 370, y_manual: 351, Mse: 462.5
Image: 5_5_r_1, x_automatico: 272, y_automatico: 272, x_manual: 299, y_manual: 285, Mse: 449.0
Image: 5_6_r_1, x_automatico: 322, y_automatico: 270, x_manual: 379, y_manual: 289, Mse: 1805.0
Image: 5_7_r_1, x_automatico: 410, y_automatico: 242, x_manual: 407, y_manual: 236, Mse: 22.5
Image: 5_8_r_1, x_automatico: 352, y_automatico: 225, x_manual: 341, y_manual: 225, Mse: 60.5
Image: 5_9_r_1, x_automatico: 335, y_automatico: 202, x_manual: 350, y_manual: 205, Mse: 117.0
Image: 6_10_r_1, x_automatico: 395, y_automatico: 230, x_manual: 437, y_manual: 216, Mse: 980.0
Image: 6_1_r_1, x_automatico: 362, y_automatico: 382, x_manual: 376, y_manual: 350, Mse: 610.0
Image: 6_2_r_1, x_automatico: 285, y_automatico: 420, x_manual: 282, y_manual: 370, Mse: 1254.5
Image: 6_3_r_1, x_automatico: 365, y_automatico: 352, x_manual: 368, y_manual: 302, Mse: 1254.5
Image: 6_4_r_1, x_automatico: 444, y_automatico: 422, x_manual: 425, y_manual: 391, Mse: 661.0
Image: 6_5_r_1, x_automatico: 392, y_automatico: 265, x_manual: 400, y_manual: 284, Mse: 212.5
Image: 6_6_r_1, x_automatico: 420, y_automatico: 220, x_manual: 384, y_manual: 187, Mse: 1192.5
Image: 6_7_r_1, x_automatico: 278, y_automatico: 262, x_manual: 275, y_manual: 264, Mse: 6.5
Image: 6_8_r_1, x_automatico: 325, y_automatico: 228, x_manual: 341, y_manual: 240, Mse: 200.0
Image: 6_9_r_1, x_automatico: 308, y_automatico: 300, x_manual: 274, y_manual: 259, Mse: 1418.5
Image: 7_10_r_1, x_automatico: 595, y_automatico: 312, x_manual: 593, y_manual: 294, Mse: 164.0
Image: 7_1_r_1, x_automatico: 338, y_automatico: 438, x_manual: 329, y_manual: 416, Mse: 282.5
Image: 7_2_r_1, x_automatico: 392, y_automatico: 332, x_manual: 284, y_manual: 299, Mse: 6376.5
Image: 7_3_r_1, x_automatico: 430, y_automatico: 415, x_manual: 424, y_manual: 402, Mse: 102.5
Image: 7_4_r_1, x_automatico: 435, y_automatico: 345, x_manual: 420, y_manual: 327, Mse: 274.5
Image: 7_5_r_1, x_automatico: 345, y_automatico: 508, x_manual: 348, y_manual: 511, Mse: 9.0
Image: 7_6_r_1, x_automatico: 390, y_automatico: 430, x_manual: 398, y_manual: 415, Mse: 144.5
Image: 7_7_r_1, x_automatico: 392, y_automatico: 315, x_manual: 399, y_manual: 295, Mse: 224.5
Image: 7_8_r_1, x_automatico: 380, y_automatico: 250, x_manual: 391, y_manual: 226, Mse: 348.5
Image: 7_9_r_1, x_automatico: 438, y_automatico: 308, x_manual: 444, y_manual: 307, Mse: 18.5
Image: 8_10_r_1, x_automatico: 358, y_automatico: 378, x_manual: 354, y_manual: 359, Mse: 188.5
Image: 8_1_r_1, x_automatico: 340, y_automatico: 350, x_manual: 329, y_manual: 344, Mse: 78.5
Image: 8_2_r_1, x_automatico: 278, y_automatico: 362, x_manual: 273, y_manual: 331, Mse: 493.0
Image: 8_3_r_1, x_automatico: 485, y_automatico: 272, x_manual: 479, y_manual: 253, Mse: 198.5
Image: 8_4_r_1, x_automatico: 490, y_automatico: 512, x_manual: 487, y_manual: 513, Mse: 5.0
Image: 8_5_r_1, x_automatico: 222, y_automatico: 515, x_manual: 217, y_manual: 505, Mse: 62.5
Image: 8_6_r_1, x_automatico: 475, y_automatico: 275, x_manual: 472, y_manual: 271, Mse: 12.5
Image: 8_7_r_1, x_automatico: 388, y_automatico: 302, x_manual: 378, y_manual: 278, Mse: 338.0
Image: 8_8_r_1, x_automatico: 260, y_automatico: 342, x_manual: 248, y_manual: 323, Mse: 252.5
Image: 8_9_r_1, x_automatico: 382, y_automatico: 472, x_manual: 382, y_manual: 451, Mse: 220.5
Image: 9_10_r_1, x_automatico: 288, y_automatico: 282, x_manual: 272, y_manual: 278, Mse: 136.0
Image: 9_1_r_1, x_automatico: 120, y_automatico: 265, x_manual: 107, y_manual: 245, Mse: 284.5
Image: 9_2_r_1, x_automatico: 278, y_automatico: 230, x_manual: 265, y_manual: 204, Mse: 422.5
Image: 9_3_r_1, x_automatico: 292, y_automatico: 240, x_manual: 293, y_manual: 240, Mse: 0.5
Image: 9_4_r_1, x_automatico: 348, y_automatico: 332, x_manual: 365, y_manual: 314, Mse: 306.5
Image: 9_5_r_1, x_automatico: 298, y_automatico: 298, x_manual: 281, y_manual: 281, Mse: 289.0
Image: 9_6_r_1, x_automatico: 280, y_automatico: 315, x_manual: 280, y_manual: 309, Mse: 18.0
Image: 9_7_r_1, x_automatico: 278, y_automatico: 272, x_manual: 271, y_manual: 267, Mse: 37.0
Image: 9_8_r_1, x_automatico: 302, y_automatico: 268, x_manual: 301, y_manual: 267, Mse: 1.0
Image: 9_9_r_1, x_automatico: 310, y_automatico: 280, x_manual: 307, y_manual: 252, Mse: 396.5
